,,,,Overall,,,,,,,,Time on Ice,,,,Goals,,,,,Assists,,,,,Points,,,,,,per 60 All Situations,,,per 60 Even-Strength,,,per 60 Power-Play,,,per Game,,,Shots,,Defensive,,Faceoffs,,
Rk,Name,FTeam,Salary,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
1,Leon Draisaitl,EDM,11.333,24,C,71,43,67,110,18,-7,22:36,17:53,3:50,0:52,27,16,0,10,2,39,28,0,13,1,66,44,0,23,3,40.00%,1.607,2.504,4.111,1.275,1.842,3.117,3.516,6.154,9.67,0.606,0.944,1.549,218,19.70%,27,19,661,609,52.05%
2,Connor McDavid,EDM,12.5,22,C,64,34,63,97,28,-6,21:51,17:52,3:53,0:06,23,11,0,6,0,31,32,0,10,2,54,43,0,16,2,44.30%,1.458,2.701,4.159,1.206,1.626,2.832,2.653,7.718,10.37,0.531,0.984,1.516,212,16.00%,37,18,320,349,47.83%
3,David Pastrnak,BOS,6.667,23,RW,70,48,47,95,40,21,18:57,15:11,3:45,0:00,28,20,0,10,1,29,18,0,10,2,57,38,0,20,3,40.00%,2.17,2.125,4.295,1.58,1.636,3.216,4.559,4.103,8.662,0.686,0.671,1.357,279,17.20%,47,22,7,11,38.89%
4,Artemi Panarin,NYR,11.642,28,LW,69,32,63,95,20,36,20:36,16:51,3:43,0:01,25,7,0,4,0,46,17,0,12,4,71,24,0,16,4,25.30%,1.351,2.659,4.009,1.29,2.374,3.664,1.631,3.96,5.591,0.464,0.913,1.377,209,15.30%,25,18,1,1,50.00%
5,Nathan MacKinnon,COL,6.3,24,C,69,35,58,93,12,13,21:14,17:03,4:07,0:04,23,12,0,4,2,39,19,0,13,0,62,31,0,17,2,33.30%,1.432,2.374,3.806,1.173,1.989,3.161,2.532,4.009,6.541,0.507,0.841,1.348,318,11.00%,51,31,362,478,43.10%
6,Brad Marchand,BOS,6.125,31,LW,70,28,59,87,82,25,19:27,14:10,3:41,1:34,22,5,1,5,0,34,23,2,11,1,56,28,3,16,1,32.20%,1.234,2.6,3.834,1.33,2.055,3.384,1.161,5.341,6.502,0.4,0.843,1.243,185,15.10%,55,19,22,29,43.14%
7,Nikita Kucherov,TBL,9.5,26,RW,68,33,52,85,38,26,18:51,15:17,3:33,0:00,29,4,0,6,3,31,21,0,5,0,60,25,0,11,3,29.40%,1.544,2.433,3.977,1.673,1.788,3.461,0.992,5.208,6.2,0.485,0.765,1.25,210,15.70%,37,19,0,1,0.00%
8,Patrick Kane,CHI,10.5,31,RW,70,33,51,84,40,8,21:20,17:36,3:42,0:01,25,8,0,2,1,36,15,0,6,2,61,23,0,8,3,27.40%,1.325,2.048,3.374,1.218,1.753,2.971,1.849,3.467,5.316,0.471,0.729,1.2,275,12.00%,24,19,1,3,25.00%
9,Auston Matthews,TOR,11.634,22,C,70,47,33,80,8,19,20:58,17:44,3:11,0:02,35,12,0,5,0,20,13,0,5,3,55,25,0,10,3,31.30%,1.921,1.349,3.27,1.691,0.966,2.658,3.218,3.486,6.704,0.671,0.471,1.143,290,16.20%,40,60,506,414,55.00%
